Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2020-01-01,0,10000,915.8228,9.615477,0,301.96155,A,13.75,100.5,-5.3394485,-6.4012184,-6.56082,-6.80741,-7.070952,-7.7660375,-8.021782,-0.5526831,-0.57436526,-0.5786841,-0.5955347,-0.60346925,-0.6278174,-0.629292,gfs.0p25.2020010100.f000.grib2
2020-01-01,0,6000,575.0228,10.615477,0,297.96155,B,13.75,100.75,-4.049448,-5.101218,-5.3708205,-5.70741,-6.040952,-6.9660378,-7.441782,-0.7726831,-0.88436526,-0.8986841,-0.9155347,-0.93346924,-0.9878174,-0.999292,gfs.0p25.2020010100.f000.grib2
2020-01-01,0,3000,481.98282,7.415477,0,298.86154,C,14,100.5,-3.1994483,-3.9712183,-4.1108203,-4.3274097,-4.540952,-5.136038,-5.401782,-0.5726831,-0.6043652,-0.5886841,-0.55553466,-0.53346926,-0.42781737,-0.339292,gfs.0p25.2020010100.f000.grib2
2020-01-01,0,1000,243.98282,6.615477,0,297.46155,D,13.75,100.25,-2.8094482,-3.5912182,-3.7608204,-4.1174097,-4.470952,-5.4960375,-6.051782,-1.362683,-1.6843653,-1.6986841,-1.7155347,-1.7334692,-1.7578174,-1.649292,gfs.0p25.2020010100.f000.grib2
2020-01-01,6,11000,1681.414,6.0191593,0,312.8122,A,13.75,100.5,-4.5287476,-5.110869,-5.1708446,-5.2681203,-5.3454223,-5.5801344,-5.6574097,-1.049004,-1.1900488,-1.2101196,-1.2263207,-1.2476343,-1.3022705,-1.3154688,gfs.0p25.2020010106.f000.grib2
2020-01-01,6,12000,1567.7339,6.9191594,0,312.2122,B,13.75,100.75,-5.058748,-5.6708694,-5.7408447,-5.82812,-5.9154224,-6.150134,-6.2374096,-1.0190039,-1.1600488,-1.1801196,-1.1963208,-1.2076343,-1.2622705,-1.2854687,gfs.0p25.2020010106.f000.grib2
2020-01-01,6,12000,1793.9739,5.7191596,0,312.7122,C,14,100.5,-4.3387475,-4.930869,-4.9808445,-5.0581203,-5.1454225,-5.3501344,-5.41741,-0.4490039,-0.5600488,-0.5601196,-0.5763208,-0.58763427,-0.61227053,-0.62546873,gfs.0p25.2020010106.f000.grib2
2020-01-01,6,11000,1889.9739,5.619159,0,313.7122,D,13.75,100.25,-4.2287474,-4.610869,-4.640845,-4.7081203,-4.7654223,-4.9301343,-4.97741,-1.1390039,-1.2800488,-1.2801197,-1.2963208,-1.3176342,-1.3722705,-1.3854687,gfs.0p25.2020010106.f000.grib2
2020-01-01,12,11000,1642.7776,5.7015524,0,306.57208,A,13.75,100.5,-2.212754,-2.6519701,-2.7068017,-2.793684,-2.8669775,-3.0819654,-3.1602783,-3.7136621,-4.335547,-4.4132056,-4.5158596,-4.618855,-4.904861,-4.984534,gfs.0p25.2020010112.f000.grib2
2020-01-01,12,2300,410.8576,4.401552,0,302.77206,B,13.75,100.75,-1.7927539,-2.2119703,-2.2968018,-2.4136841,-2.5369775,-2.8819654,-3.0902784,-2.273662,-2.7255468,-2.7832055,-2.8858595,-2.978855,-3.234861,-3.2945337,gfs.0p25.2020010112.f000.grib2
2020-01-01,12,6600,706.2976,8.401552,0,303.37207,C,14,100.5,-1.9727539,-2.5019703,-2.6468017,-2.813684,-2.9969776,-3.4819653,-3.7202783,-4.713662,-5.685547,-5.9232054,-6.205859,-6.488855,-7.2448606,-7.5245337,gfs.0p25.2020010112.f000.grib2
2020-01-01,12,4000,513.4176,7.901552,0,302.07208,D,13.75,100.25,-0.24275391,-0.42197022,-0.49680176,-0.5936841,-0.69697756,-0.99196535,-1.1802783,-4.0736623,-4.915547,-5.1332054,-5.435859,-5.748855,-6.614861,-6.9145336,gfs.0p25.2020010112.f000.grib2
2020-01-01,18,5200,755.36707,6.7042804,0,303.41568,A,13.75,100.5,-1.8672949,-2.260022,-2.3229492,-2.4242725,-2.51115,-2.7744727,-2.8796973,-2.9761963,-3.5338135,-3.6264892,-3.755796,-3.8903003,-4.260923,-4.403555,gfs.0p25.2020010118.f000.grib2
2020-01-01,18,1100,216.32704,5.00428,0,299.0157,B,13.75,100.75,-1.2672949,-1.530022,-1.5729492,-1.6242725,-1.68115,-1.8444726,-1.9296973,-2.6161964,-3.2238135,-3.3564892,-3.535796,-3.7003002,-4.180923,-4.3835545,gfs.0p25.2020010118.f000.grib2
2020-01-01,18,3900,479.52704,8.30428,0,301.31567,C,14,100.5,-1.7872949,-2.270022,-2.392949,-2.5742724,-2.76115,-3.2844727,-3.5396972,-3.6961963,-4.4738135,-4.6364894,-4.885796,-5.1403003,-5.8109226,-6.0535545,gfs.0p25.2020010118.f000.grib2
2020-01-01,18,1000,201.84705,5.50428,0,298.61566,D,13.75,100.25,-0.9372949,-1.240022,-1.3429493,-1.5442724,-1.7411499,-2.3444726,-2.7196972,-2.8261962,-3.5438135,-3.6364892,-3.8357959,-4.0403004,-4.600923,-4.773555,gfs.0p25.2020010118.f000.grib2
2020-01-02,0,3000,526.4343,5.006494,0,301.485,A,13.75,100.5,-2.763623,-3.2742748,-3.3589551,-3.5036352,-3.638313,-4.006338,-4.154055,-1.117395,-1.2786402,-1.3005005,-1.3323584,-1.3692529,-1.4642823,-1.498501,gfs.0p25.2020010200.f000.grib2
2020-01-02,0,1000,271.39435,5.906494,0,297.485,B,13.75,100.75,-2.733623,-3.444275,-3.668955,-3.9236352,-4.178313,-4.896338,-5.284055,-0.48739502,-0.54864013,-0.5605005,-0.5623584,-0.5592529,-0.5742822,-0.578501,gfs.0p25.2020010200.f000.grib2
2020-01-02,0,0,206.59435,2.1064942,0,298.585,C,14,100.5,-0.22362305,-0.27427492,-0.29895508,-0.34363526,-0.388313,-0.5163379,-0.5940552,-1.407395,-1.6286402,-1.6405005,-1.6823584,-1.7292529,-1.8142822,-1.788501,gfs.0p25.2020010200.f000.grib2
