Station Name,Location,station_id,Dcode,Dname,pixelID,Elat,ELlng
สถานีตรวจวัดคุณภาพฯ เขตธนบุรี (สถานี คพ.),การไฟฟ้าย่อยธนบุรี ริมถนนอินทรพิทักษ์ เขตธนบุรี,137,1015,ธนบุรี,A,13.72767921,100.486226
สถานีตรวจวัดคุณภาพฯ เขตคลองสาน,บริเวณหน้าห้องสมุดใต้สะพานสมเด็จพระเจ้าตากสิน,138,1018,คลองสาน,D,13.71971417,100.5088012
สถานีตรวจวัดคุณภาพฯ เขตบางกอกใหญ่,บริเวณสี่แยกท่าพระ แขวงวัดท่าพระ,139,1016,บางกอกใหญ่,A,13.72890156,100.4738249
สถานีตรวจวัดคุณภาพฯ เขตบางกอกน้อย,บริเวณหน้าสถานีตำรวจรถไฟบางกอกน้อย,140,1020,บางกอกน้อย,D,13.75965811,100.4806756
สถานีตรวจวัดคุณภาพฯ เขตตลิ่งชัน,ถนนพุทธมณฑลสาย 1 ตัดกับถนนบรมราชชนนี,141,1019,ตลิ่งชัน,A,13.78191,100.4261464
สถานีตรวจวัดคุณภาพฯ เขตทวีวัฒนา,ทางเข้าสนามหลวง 2,142,1048,ทวีวัฒนา,D,13.7460178,100.3548338
สถานีตรวจวัดคุณภาพฯ เขตภาษีเจริญ,ถนนเพชรเกษมหน้ามหาวิทยาลัยสยาม,143,1022,ภาษีเจริญ,A,13.71953865,100.4551814
สถานีตรวจวัดคุณภาพฯ ขตหนองแขม,สามแยกข้างป้อมตำรวจ ถนนมาเจริญ เพชรเกษม 81,144,1023,หนองแขม,D,13.70529295,100.3432181
สถานีตรวจวัดคุณภาพฯ เขตบางขุนเทียน,ถนนพระราม 2 ภายในสำนักงานเขตบางขุนเทียน,145,1021,บางขุนเทียน,A,13.66089688,100.435316
สถานีตรวจวัดคุณภาพฯ เขตบางบอน,ใกล้ตลาดบางบอน,146,1049,ทุ่งครุ,A,13.63922637,100.3733657
สถานีตรวจวัดคุณภาพฯ เขตพระนคร,ภายในสำนักงานเขตพระนคร,147,1001,พระนคร,A,13.76496387,100.4986777
สถานีตรวจวัดคุณภาพฯ เขตห้วยขวาง,ภายในสำนักงานเขตห้วยขวาง (ด้านข้างโรงเพาะชำ) ถนนประชาอุทิศ,148,1017,ห้วยขวาง,A,13.77663593,100.5792762
สถานีตรวจวัดคุณภาพฯ เขตทุ่งครุ,ถนนประชาอุทิศ หน้ามหาวิทยาลัยเทคโนโลยี พระจอมเกล้าธนบุรี,149,1049,ทุ่งครุ,A,13.64889476,100.4931076
สถานีตรวจวัดคุณภาพฯ เขตคลองเตย,ภายในสำนักงานเขตคลองเตย,150,1033,คลองเตย,A,13.70812721,100.5837081
สถานีตรวจวัดคุณภาพฯ เขตบางซือ,ภายในสำนักงานเขตบางซื่อ,151,1029,บางซื่อ,A,13.80974847,100.537599
สถานีตรวจวัดคุณภาพฯ เขตลาดพร้าว,ภายในสำนักงานเขตลาดพร้าว,152,1038,ลาดพร้าว,A,13.80350739,100.6074168
สถานีตรวจวัดคุณภาพฯ เขตหลักสี่,บริเวณภายในสำนักงานเขตหลักสี่,153,1041,หลักสี่,C,13.88740105,100.5792001
สถานีตรวจวัดคุณภาพฯ เขตบางเขน,บริเวณภายในสำนักงานเขตบางเขน,154,1005,บางเขน,A,13.87378687,100.5961221
